"filename", "language", "YAML", "Dart", "JSON", "Markdown", "Shell Script", "Ruby", "Gradle", "Java Properties", "XML", "Swift", "C++", "comment", "blank", "total"
"d:\projects\flutter\49-mobile-app\assets\json\auction_list.json", "JSON", 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 84
"d:\projects\flutter\49-mobile-app\assets\json\balance_history_list.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"d:\projects\flutter\49-mobile-app\assets\json\cancel_reasons.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\projects\flutter\49-mobile-app\assets\json\car_types.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"d:\projects\flutter\49-mobile-app\assets\json\cities_list.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24
"d:\projects\flutter\49-mobile-app\assets\json\company_ads.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 42
"d:\projects\flutter\49-mobile-app\assets\json\competitions_list.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"d:\projects\flutter\49-mobile-app\assets\json\doctor_appointments.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36
"d:\projects\flutter\49-mobile-app\assets\json\doctor_bookings_list.json", "JSON", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 62
"d:\projects\flutter\49-mobile-app\assets\json\doctor_details.json", "JSON", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 98
"d:\projects\flutter\49-mobile-app\assets\json\doctor_list.json", "JSON", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 73
"d:\projects\flutter\49-mobile-app\assets\json\driver.json", "JSON", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"d:\projects\flutter\49-mobile-app\assets\json\driver_new_trips.json", "JSON", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 79
"d:\projects\flutter\49-mobile-app\assets\json\driver_statistics.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\projects\flutter\49-mobile-app\assets\json\expected_price.json", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"d:\projects\flutter\49-mobile-app\assets\json\favourite_ads_list.json", "JSON", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 78
"d:\projects\flutter\49-mobile-app\assets\json\favourite_categories_list.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"d:\projects\flutter\49-mobile-app\assets\json\favourite_subcategories_list.json", "JSON", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"d:\projects\flutter\49-mobile-app\assets\json\feelings.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"d:\projects\flutter\49-mobile-app\assets\json\food_categories_list.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"d:\projects\flutter\49-mobile-app\assets\json\food_orders.json", "JSON", 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 247
"d:\projects\flutter\49-mobile-app\assets\json\gift_history_list.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\projects\flutter\49-mobile-app\assets\json\installment_details.json", "JSON", 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 90
"d:\projects\flutter\49-mobile-app\assets\json\installments_list.json", "JSON", 0, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 95
"d:\projects\flutter\49-mobile-app\assets\json\main_categories.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"d:\projects\flutter\49-mobile-app\assets\json\offers.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"d:\projects\flutter\49-mobile-app\assets\json\parent_categories.json", "JSON", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"d:\projects\flutter\49-mobile-app\assets\json\restaurant_details.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"d:\projects\flutter\49-mobile-app\assets\json\restaurant_meals.json", "JSON", 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 128
"d:\projects\flutter\49-mobile-app\assets\json\restaurants_list.json", "JSON", 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 58
"d:\projects\flutter\49-mobile-app\assets\json\shipping_request.json", "JSON", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 63
"d:\projects\flutter\49-mobile-app\assets\json\shipping_sub_categories.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"d:\projects\flutter\49-mobile-app\assets\json\slider_items.json", "JSON", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"d:\projects\flutter\49-mobile-app\assets\json\states_list.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
