Date : 2024-10-28 23:41:18
Directory : d:\projects\flutter\49-mobile-app
Total : 2882 files,  236190 codes, 35878 comments, 25383 blanks, all 297451 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |      2,754 |    230,046 |     35,769 |     25,177 |    290,992 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\domain\use_case\add_chance_data.dart                                                                                                            | Dart            |         53 |          0 |         10 |         63 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\domain\use_case\fetch_chance_rate_use_case.dart                                                                                                 | Dart            |         18 |          0 |          6 |         24 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\domain\use_case\fetch_chance_use_case.dart                                                                                                      | Dart            |         12 |          0 |          5 |         17 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\domain\use_case\fetch_main_category.dart                                                                                                        | Dart            |         20 |          0 |          6 |         26 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\domain\use_case\fetch_sub_category.dart                                                                                                         | Dart            |         21 |          0 |          6 |         27 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\controller\cubit\chance_cubit.dart                                                                                                 | Dart            |         97 |         17 |          9 |        123 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\controller\cubit\chance_states.dart                                                                                                | Dart            |         42 |          0 |         11 |         53 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\pages\chance_details_view.dart                                                                                                     | Dart            |        157 |          0 |          8 |        165 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\pages\chance_view.dart                                                                                                             | Dart            |         19 |          0 |          4 |         23 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\pages\create_chance_view.dart                                                                                                      | Dart            |         26 |          0 |          4 |         30 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\widgets\LIst_view_card.dart                                                                                                        | Dart            |         52 |          0 |          4 |         56 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\widgets\add_image_widget.dart                                                                                                      | Dart            |         44 |          0 |          4 |         48 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\widgets\card_details_widget_of_details_view.dart                                                                                   | Dart            |         81 |          0 |          4 |         85 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\widgets\chance_card_widget.dart                                                                                                    | Dart            |         98 |          1 |          7 |        106 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\widgets\chance_view_body.dart                                                                                                      | Dart            |         43 |          0 |          3 |         46 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\widgets\counter_money_widget.dart                                                                                                  | Dart            |         86 |          0 |          4 |         90 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\widgets\create_chance_view_body.dart                                                                                               | Dart            |        390 |          4 |         12 |        406 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\widgets\drop_down_widget.dart                                                                                                      | Dart            |        184 |          4 |          9 |        197 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\widgets\floating_action_button_widget.dart                                                                                         | Dart            |         23 |          0 |          4 |         27 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\widgets\image_card_widget.dart                                                                                                     | Dart            |         23 |          0 |          3 |         26 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\widgets\rate_product_widget.dart                                                                                                   | Dart            |         36 |          0 |          5 |         41 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\widgets\subscribe_button_widget.dart                                                                                               | Dart            |         28 |          0 |          4 |         32 |
| d:\projects\flutter\49-mobile-app\lib\features\chance_feature\presentation\widgets\subscribe_widget_in_card.dart                                                                                              | Dart            |         32 |          0 |          2 |         34 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\data\models\competion_model.dart                                                                                                                   | Dart            |         85 |          0 |         12 |         97 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\data\models\winners_model.dart                                                                                                                     | Dart            |        161 |          0 |         24 |        185 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\data\repository\competition_repo.dart                                                                                                              | Dart            |          8 |          0 |          3 |         11 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\data\repository\competition_repo_impl.dart                                                                                                         | Dart            |         47 |          4 |         10 |         61 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\presentation\cubit\competition_cubit\competition_cubit.dart                                                                                        | Dart            |         20 |         16 |          7 |         43 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\presentation\cubit\competition_cubit\competition_state.dart                                                                                        | Dart            |         12 |          0 |          8 |         20 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\presentation\cubit\winner_cubit\winner_cubit.dart                                                                                                  | Dart            |         18 |         22 |          9 |         49 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\presentation\cubit\winner_cubit\winner_state.dart                                                                                                  | Dart            |         12 |          0 |          8 |         20 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\presentation\pages\competition_view.dart                                                                                                           | Dart            |        203 |          2 |          9 |        214 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\presentation\pages\winners.dart                                                                                                                    | Dart            |         48 |          0 |          4 |         52 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\presentation\view\special_ads_view.dart                                                                                                            | Dart            |         35 |          0 |          4 |         39 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\presentation\view\widgets\build_item_list_view.dart                                                                                                | Dart            |         95 |          5 |          6 |        106 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\presentation\view\widgets\donut_chart_painter.dart                                                                                                 | Dart            |         72 |          5 |         14 |         91 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\presentation\view\widgets\special_ads_body.dart                                                                                                    | Dart            |         57 |          1 |          5 |         63 |
| d:\projects\flutter\49-mobile-app\lib\features\competition\presentation\view\widgets\winner_card.dart                                                                                                         | Dart            |         67 |          7 |          5 |         79 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\data\data_source\custom_page_remote_data_source.dart                                                                                               | Dart            |        123 |          0 |         25 |        148 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\data\model\activate_model.dart                                                                                                                     | Dart            |         12 |          0 |          3 |         15 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\data\model\favourite_cat_model.dart                                                                                                                | Dart            |        104 |          0 |          3 |        107 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\data\model\navigate_bar_model.dart                                                                                                                 | Dart            |         36 |          0 |          3 |         39 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\data\model\social_page_model.dart                                                                                                                  | Dart            |         16 |          0 |          3 |         19 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\data\model\sub_tab_model.dart                                                                                                                      | Dart            |         22 |          0 |          3 |         25 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\data\reposiory\custom_page_repository_impl.dart                                                                                                    | Dart            |         57 |          0 |         13 |         70 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\entity\activate_entity.dart                                                                                                                 | Dart            |          7 |          0 |          2 |          9 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\entity\favourite_categ_entity.dart                                                                                                          | Dart            |         99 |          0 |          2 |        101 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\entity\navigate_bar_entity.dart                                                                                                             | Dart            |         31 |          0 |          2 |         33 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\entity\social_page_entity.dart                                                                                                              | Dart            |         11 |          0 |          2 |         13 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\entity\sub_tab_entity.dart                                                                                                                  | Dart            |         17 |          0 |          2 |         19 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\reposiory\custom_page_repository.dart                                                                                                       | Dart            |         23 |          0 |          3 |         26 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\use_case\fetch_activate_use_case.dart                                                                                                       | Dart            |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\use_case\fetch_favourite_cat_use_case.dart                                                                                                  | Dart            |         13 |          0 |          5 |         18 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\use_case\fetch_navigate_bar_use_case.dart                                                                                                   | Dart            |         13 |          0 |          5 |         18 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\use_case\fetch_social_page_use_case.dart                                                                                                    | Dart            |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\use_case\fetch_sub_tab_use_case.dart                                                                                                        | Dart            |         13 |          0 |          5 |         18 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\use_case\update_activate_use_case.dart                                                                                                      | Dart            |         12 |          0 |          5 |         17 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\use_case\update_favourite_cat_use_case.dart                                                                                                 | Dart            |        157 |          0 |          8 |        165 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\use_case\update_navigate_bar_use_case.dart                                                                                                  | Dart            |         55 |          0 |          8 |         63 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\use_case\update_social_page_use_case.dart                                                                                                   | Dart            |         21 |          1 |          9 |         31 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\domain\use_case\update_sub_tab_use_case.dart                                                                                                       | Dart            |         32 |          0 |          8 |         40 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\presentation\cubit\custom_page_cubit.dart                                                                                                          | Dart            |        118 |         10 |         19 |        147 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\presentation\cubit\custom_page_states.dart                                                                                                         | Dart            |         43 |          0 |          5 |         48 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\presentation\page\custom_page.dart                                                                                                                 | Dart            |        113 |          0 |          6 |        119 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\presentation\page\widget\custom_page_botton_nav_bar.dart                                                                                           | Dart            |        257 |         15 |         22 |        294 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\presentation\page\widget\edit_page.dart                                                                                                            | Dart            |         82 |          0 |          4 |         86 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\presentation\page\widget\favourite_category.dart                                                                                                   | Dart            |        221 |          6 |         10 |        237 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\presentation\page\widget\navigate_bar.dart                                                                                                         | Dart            |        160 |          2 |          6 |        168 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\presentation\page\widget\page_preview.dart                                                                                                         | Dart            |         82 |          0 |          4 |         86 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\presentation\page\widget\service_page_preview copy.dart                                                                                            | Dart            |        529 |         27 |         16 |        572 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\presentation\page\widget\social_page.dart                                                                                                          | Dart            |        109 |          5 |          9 |        123 |
| d:\projects\flutter\49-mobile-app\lib\features\custom_page\presentation\page\widget\sub_tab.dart                                                                                                              | Dart            |        120 |          4 |          8 |        132 |
| d:\projects\flutter\49-mobile-app\lib\features\favorites\presentation\cubit\favorites_cubit.dart                                                                                                              | Dart            |          6 |          0 |          3 |          9 |
| d:\projects\flutter\49-mobile-app\lib\features\favorites\presentation\cubit\favorites_state.dart                                                                                                              | Dart            |          7 |          0 |          4 |         11 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\cubit\create_menu_cubit\create_menu_cubit.dart                                                                                  | Dart            |         93 |          2 |         16 |        111 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\cubit\create_menu_cubit\create_menu_state.dart                                                                                  | Dart            |         21 |          0 |         12 |         33 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\cubit\create_resturant_cubit.dart                                                                                               | Dart            |        274 |         99 |         47 |        420 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\cubit\create_resturant_state.dart                                                                                               | Dart            |        113 |          0 |         33 |        146 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\views\create_resturant_view.dart                                                                                                | Dart            |        168 |         10 |          8 |        186 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\views\widgets\edit_food_view.dart                                                                                               | Dart            |        355 |        887 |         30 |      1,272 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\views\widgets\location\cities_dropdowns.dart                                                                                    | Dart            |         90 |          7 |          3 |        100 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\views\widgets\location\governorate_dropdown.dart                                                                                | Dart            |        107 |          0 |          2 |        109 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\views\widgets\mneu\name\food_name_text_form_field.dart                                                                          | Dart            |         25 |          0 |          2 |         27 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\views\widgets\mneu\name\price_text_form_field.dart                                                                              | Dart            |         25 |          0 |          2 |         27 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\views\widgets\mneu\show_menu.dart                                                                                               | Dart            |        295 |         25 |         11 |        331 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\views\widgets\name\name_filed.dart                                                                                              | Dart            |        160 |         10 |          5 |        175 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\views\widgets\photo\license_photo_picker.dart                                                                                   | Dart            |        139 |          0 |          4 |        143 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\views\widgets\photo\restaurant_photo_picker.dart                                                                                | Dart            |         86 |          0 |          6 |         92 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\views\widgets\subcategory.dart                                                                                                  | Dart            |         98 |          4 |          4 |        106 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\create_restaurant\views\widgets\submit_button.dart                                                                                                | Dart            |         30 |          3 |          4 |         37 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\cusine_restaurants\presentation\cubit\cusine_restaurants_cubit.dart                                                                               | Dart            |         24 |          0 |          8 |         32 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\cusine_restaurants\presentation\cubit\cusine_restaurants_state.dart                                                                               | Dart            |         29 |          0 |          5 |         34 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\cusine_restaurants\presentation\pages\cusine_restaurants_view.dart                                                                                | Dart            |         30 |          1 |          4 |         35 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\data\datasources\food_cart_remote_datasource.dart                                                                                       | Dart            |         38 |          0 |          5 |         43 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\data\models\cart_item_model.dart                                                                                                        | Dart            |         24 |          0 |          3 |         27 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\data\models\cart_model.dart                                                                                                             | Dart            |         12 |          0 |          3 |         15 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\data\models\food_cart_model.dart                                                                                                        | Dart            |         18 |          0 |          2 |         20 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\data\models\master_model.dart                                                                                                           | Dart            |         10 |          0 |          2 |         12 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\data\repositories\food_cart_repo_impl.dart                                                                                              | Dart            |         23 |          0 |          8 |         31 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\domain\entities\cart_entity.dart                                                                                                        | Dart            |          6 |          0 |          2 |          8 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\domain\entities\cart_item_entity.dart                                                                                                   | Dart            |         15 |          0 |          3 |         18 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\domain\entities\food_cart_entity.dart                                                                                                   | Dart            |         11 |          0 |          4 |         15 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\domain\entities\master_entity.dart                                                                                                      | Dart            |          5 |          0 |          1 |          6 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\domain\repositories\food_cart_repo.dart                                                                                                 | Dart            |         12 |          0 |          3 |         15 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\domain\usecases\get_cart_usecase.dart                                                                                                   | Dart            |         13 |          0 |          2 |         15 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\domain\usecases\place_order_usecase.dart                                                                                                | Dart            |         12 |          0 |          2 |         14 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\domain\usecases\remove_from_cart_usecase.dart                                                                                           | Dart            |         19 |          0 |          3 |         22 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\presentation\cubit\food_cart_cubit.dart                                                                                                 | Dart            |         32 |          0 |          5 |         37 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\presentation\pages\cart_view.dart                                                                                                       | Dart            |        544 |         29 |         36 |        609 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\food_cart\presentation\pages\restaurant_orders.dart                                                                                               | Dart            |         14 |          0 |          3 |         17 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_dashboard\data\datasources\restaurant_dashboard_remote_datasource.dart                                                                 | Dart            |         38 |          0 |          7 |         45 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_dashboard\data\models\restaurant_orders_model.dart                                                                                     | Dart            |        171 |          6 |         24 |        201 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_dashboard\data\repositories\restaurant_dashboard_repo_impl.dart                                                                        | Dart            |         25 |          0 |          8 |         33 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_dashboard\domain\repositories\restaurant_dashboard_repo.dart                                                                           | Dart            |          9 |          0 |          3 |         12 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_dashboard\domain\usecases\get_restaurant_orders_usecase.dart                                                                           | Dart            |         14 |          0 |          5 |         19 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_dashboard\presentation\cubit\restaurant_dashboard_cubit.dart                                                                           | Dart            |        130 |         21 |         37 |        188 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_dashboard\presentation\cubit\restaurant_dashboard_state.dart                                                                           | Dart            |         28 |          0 |          3 |         31 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_dashboard\presentation\cubit\restaurant_statistics_cubit.dart                                                                          | Dart            |         87 |          4 |         21 |        112 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_dashboard\presentation\pages\restaurant_dashboard_view.dart                                                                            | Dart            |        286 |          0 |         14 |        300 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_dashboard\presentation\widgets\restaurant_order_card.dart                                                                              | Dart            |        228 |        157 |         19 |        404 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_dashboard\presentation\widgets\restaurant_statistics_view.dart                                                                         | Dart            |         85 |         29 |          5 |        119 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\data\datasources\restaurant_details_remote_data_source.dart                                                                    | Dart            |         55 |          0 |          6 |         61 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\data\models\cart_model.dart                                                                                                    | Dart            |        142 |          0 |         18 |        160 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\data\models\meal_model.dart                                                                                                    | Dart            |         35 |          0 |          3 |         38 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\data\models\option_model.dart                                                                                                  | Dart            |         11 |          0 |          2 |         13 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\data\models\selected_meal_model.dart                                                                                           | Dart            |         20 |          0 |          3 |         23 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\data\models\selected_variation_model.dart                                                                                      | Dart            |         12 |          0 |          4 |         16 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\data\models\variation_model.dart                                                                                               | Dart            |         15 |          0 |          2 |         17 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\data\repositories\restaurant_details_repo_impl.dart                                                                            | Dart            |         32 |          0 |          5 |         37 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\domain\entities\meal_entity.dart                                                                                               | Dart            |         24 |          0 |          3 |         27 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\domain\entities\option_entity.dart                                                                                             | Dart            |          6 |          0 |          1 |          7 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\domain\entities\selected_meal_entity.dart                                                                                      | Dart            |         27 |          0 |          4 |         31 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\domain\entities\variation_entity.dart                                                                                          | Dart            |         11 |          0 |          2 |         13 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\domain\repositories\restaurant_details_repo.dart                                                                               | Dart            |         15 |          0 |          3 |         18 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\domain\usecases\add_to_cart_usecase.dart                                                                                       | Dart            |         15 |          0 |          4 |         19 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\domain\usecases\get_meals_usecase.dart                                                                                         | Dart            |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\domain\usecases\get_restaurant_details_usecase.dart                                                                            | Dart            |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\presentation\cubit\restaurant_details_cubit.dart                                                                               | Dart            |        226 |         99 |         44 |        369 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\presentation\cubit\restaurant_details_state.dart                                                                               | Dart            |         39 |          0 |          8 |         47 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\presentation\pages\restaurant_details_view.dart                                                                                | Dart            |        100 |        251 |          8 |        359 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\presentation\widgets\build_food_list.dart                                                                                      | Dart            |         34 |          0 |          6 |         40 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\presentation\widgets\cart_item_card.dart                                                                                       | Dart            |         72 |          0 |          4 |         76 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\presentation\widgets\item_card.dart                                                                                            | Dart            |        156 |        346 |         13 |        515 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurant_details\presentation\widgets\restaurant_header.dart                                                                                    | Dart            |         80 |        138 |          9 |        227 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\datasources\restaurants_remote_data_source.dart                                                                             | Dart            |        203 |          0 |         17 |        220 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\city_model.dart                                                                                                      | Dart            |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\city_model.g.dart                                                                                                    | Dart            |          9 |          4 |          5 |         18 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\cuisine_model.dart                                                                                                   | Dart            |         16 |          0 |          4 |         20 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\expired_requests_model.dart                                                                                          | Dart            |        237 |          9 |         36 |        282 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\food_category_model.dart                                                                                             | Dart            |         20 |          0 |          5 |         25 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\food_category_model.g.dart                                                                                           | Dart            |         28 |          4 |          6 |         38 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\government_model.dart                                                                                                | Dart            |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\government_model.g.dart                                                                                              | Dart            |         11 |          4 |          5 |         20 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\is_restaurant_model.dart                                                                                             | Dart            |         83 |         11 |         19 |        113 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\restaurant_2_model.dart                                                                                              | Dart            |         33 |         37 |          7 |         77 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\restaurant_2_model.g.dart                                                                                            | Dart            |         55 |          4 |          5 |         64 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\restaurant_location_model.dart                                                                                       | Dart            |         16 |          0 |          2 |         18 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\restaurant_media_model.dart                                                                                          | Dart            |         13 |          0 |          5 |         18 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\restaurant_media_model.g.dart                                                                                        | Dart            |         13 |          4 |          5 |         22 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\restaurant_mneu_model.dart                                                                                           | Dart            |         82 |          0 |         14 |         96 |
| d:\projects\flutter\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\restaurant_model.dart                                                                                                | Dart            |         82 |          0 |          6 |         88 |
