Date : 2024-10-28 23:41:18
Directory : d:\projects\flutter\49-mobile-app
Total : 2882 files,  236190 codes, 35878 comments, 25383 blanks, all 297451 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |      2,754 |    230,046 |     35,769 |     25,177 |    290,992 |
| lib\features\social_media\live_streaming\presentation\widgets\components\zego_uikit\src\services\internal (Files)                                                                                             |          1 |          2 |          0 |          1 |          3 |
| lib\features\social_media\live_streaming\presentation\widgets\components\zego_uikit\src\services\internal\core                                                                                                |         16 |      5,474 |        137 |        888 |      6,499 |
| lib\features\social_media\live_streaming\presentation\widgets\components\zego_uikit\src\services\internal\core (Files)                                                                                        |          6 |      2,465 |         87 |        419 |      2,971 |
| lib\features\social_media\live_streaming\presentation\widgets\components\zego_uikit\src\services\internal\core\data                                                                                           |          7 |      1,725 |         47 |        315 |      2,087 |
| lib\features\social_media\live_streaming\presentation\widgets\components\zego_uikit\src\services\internal\core\event                                                                                          |          3 |      1,284 |          3 |        154 |      1,441 |
| lib\features\social_media\live_streaming\presentation\widgets\components\zego_uikit\src\services\internal\utils                                                                                               |          2 |         44 |          5 |         10 |         59 |
| lib\features\social_media\reels                                                                                                                                                                               |         42 |      8,221 |      6,999 |        795 |     16,015 |
| lib\features\social_media\reels\data                                                                                                                                                                          |         10 |        934 |        435 |        117 |      1,486 |
| lib\features\social_media\reels\data\data_sources                                                                                                                                                             |          1 |        188 |          8 |         18 |        214 |
| lib\features\social_media\reels\data\models                                                                                                                                                                   |          8 |        674 |          4 |         83 |        761 |
| lib\features\social_media\reels\data\repositories                                                                                                                                                             |          1 |         72 |        423 |         16 |        511 |
| lib\features\social_media\reels\domain                                                                                                                                                                        |         14 |        271 |          1 |         79 |        351 |
| lib\features\social_media\reels\domain\entities                                                                                                                                                               |          1 |         32 |          0 |          4 |         36 |
| lib\features\social_media\reels\domain\repositories                                                                                                                                                           |          1 |         32 |          1 |          3 |         36 |
| lib\features\social_media\reels\domain\use_case                                                                                                                                                               |         12 |        207 |          0 |         72 |        279 |
| lib\features\social_media\reels\presentation                                                                                                                                                                  |         18 |      7,016 |      6,563 |        599 |     14,178 |
| lib\features\social_media\reels\presentation\controllers                                                                                                                                                      |          2 |        454 |        268 |         54 |        776 |
