Date : 2024-08-20 21:35:42
Directory : d:\projects\flutter\49\49-mobile-app\lib
Total : 1472 files,  95704 codes, 8632 comments, 11769 blanks, all 116105 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |      1,472 |     95,704 |      8,632 |     11,769 |    116,105 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\ads\domain\entities\publisher_entity.dart                                                                           | Dart     |         17 |          0 |          2 |         19 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\ads\domain\repositories\ads_repo.dart                                                                               | Dart     |         14 |          0 |          3 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\ads\domain\usecases\get_ads_usecase.dart                                                                            | Dart     |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\ads\domain\usecases\get_all_comewithme_usecase.dart                                                                 | Dart     |         13 |          0 |          3 |         16 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\ads\domain\usecases\get_all_pickme_usecase.dart                                                                     | Dart     |         13 |          0 |          3 |         16 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\ads\domain\usecases\request_come_with_me_usecase.dart                                                               | Dart     |         23 |          0 |          4 |         27 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\ads\domain\usecases\request_pick_me_usecase.dart                                                                    | Dart     |         13 |          0 |          2 |         15 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\ads\presentation\cubit\ads_cubit.dart                                                                               | Dart     |        113 |          0 |         10 |        123 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\ads\presentation\cubit\ads_state.dart                                                                               | Dart     |         36 |          0 |          4 |         40 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\ads\presentation\pages\ads_view.dart                                                                                | Dart     |        118 |          1 |         11 |        130 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\ads\presentation\widgets\ad_card.dart                                                                               | Dart     |        111 |          3 |          4 |        118 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_ad\data\datasources\create_ad_remote_datasource.dart                                                         | Dart     |         35 |          0 |          5 |         40 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_ad\data\models\ad_property_model.dart                                                                        | Dart     |         18 |          0 |          3 |         21 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_ad\data\repositories\create_ad_repo_impl.dart                                                                | Dart     |         20 |          0 |          6 |         26 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_ad\domain\entities\ad_properties_entity.dart                                                                 | Dart     |         34 |          0 |          4 |         38 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_ad\domain\entities\categorization_entity.dart                                                                | Dart     |          7 |          0 |          3 |         10 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_ad\domain\repositories\create_ad_repo.dart                                                                   | Dart     |         10 |          0 |          3 |         13 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_ad\domain\usecases\create_ad_usecase.dart                                                                    | Dart     |         15 |          0 |          5 |         20 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_ad\domain\usecases\get_ad_properties_usecase.dart                                                            | Dart     |         15 |          0 |          4 |         19 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_ad\presentation\cubit\create_ad_cubit.dart                                                                   | Dart     |         93 |          0 |         17 |        110 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_ad\presentation\cubit\create_ad_state.dart                                                                   | Dart     |         48 |          0 |          6 |         54 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_ad\presentation\pages\create_ad.dart                                                                         | Dart     |        242 |          2 |          9 |        253 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_ad\presentation\widgets\ad_dynamic_inputs.dart                                                               | Dart     |        142 |          0 |         11 |        153 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_ad\presentation\widgets\select_main_category.dart                                                            | Dart     |         37 |          0 |          4 |         41 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_ad\presentation\widgets\select_sub_category.dart                                                             | Dart     |         37 |          0 |          5 |         42 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_company_ad\data\datasources\create_company_ad_remote_datasource.dart                                         | Dart     |         23 |          0 |          4 |         27 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_company_ad\data\models\company_ad_model.dart                                                                 | Dart     |         16 |          0 |          2 |         18 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_company_ad\data\models\company_ad_option_model.dart                                                          | Dart     |          9 |          0 |          3 |         12 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_company_ad\data\repositories\create_company_ad_repo_impl.dart                                                | Dart     |         13 |          0 |          5 |         18 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_company_ad\domain\entities\company_ad_entity.dart                                                            | Dart     |          8 |          0 |          2 |         10 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_company_ad\domain\entities\company_ad_option_entity.dart                                                     | Dart     |          7 |          0 |          1 |          8 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_company_ad\domain\repositories\create_company_ad_repo.dart                                                   | Dart     |          6 |          0 |          3 |          9 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_company_ad\domain\usecases\get_company_ads_options_usecase.dart                                              | Dart     |         14 |          0 |          2 |         16 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_company_ad\presentation\cubit\create_company_ad_cubit.dart                                                   | Dart     |         44 |          0 |         10 |         54 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_company_ad\presentation\cubit\create_company_ad_state.dart                                                   | Dart     |         26 |          0 |          2 |         28 |
| d:\projects\flutter\49\49-mobile-app\lib\features\ads_feature\create_company_ad\presentation\pages\create_company_ad.dart                                                         | Dart     |        119 |          0 |          6 |        125 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\data\data_sources\local_data_source\auth_local_data_source.dart                                                  | Dart     |         76 |          0 |         15 |         91 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\data\data_sources\remote_data_source\auth_remote_data_source.dart                                                | Dart     |        170 |          0 |         25 |        195 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\data\data_sources\remote_data_source\user_remote_data_source.dart                                                | Dart     |         26 |          1 |          7 |         34 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\data\data_sources\remote_data_source\wallet_data_source.dart                                                     | Dart     |         26 |         10 |          4 |         40 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\data\data_sources\remote_data_source\wallet_datasource.dart                                                      | Dart     |         26 |         10 |          4 |         40 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\data\models\base_user_model.dart                                                                                 | Dart     |         17 |          0 |          3 |         20 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\data\models\user_model.dart                                                                                      | Dart     |         37 |          0 |          3 |         40 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\data\models\user_tokens_model.dart                                                                               | Dart     |         17 |          0 |          4 |         21 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\data\models\wallet_model.dart                                                                                    | Dart     |        116 |          0 |          4 |        120 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\data\repositories\auth_repository_impl.dart                                                                      | Dart     |        141 |          2 |         23 |        166 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\data\repositories\user_repository_impl.dart                                                                      | Dart     |         14 |          4 |          5 |         23 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\data\repositories\wallet_repository.dart                                                                         | Dart     |         13 |          0 |          3 |         16 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\entities\base_user_entity.dart                                                                            | Dart     |         21 |          0 |          5 |         26 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\entities\user_entity.dart                                                                                 | Dart     |         49 |          0 |          5 |         54 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\entities\user_tokens_entity.dart                                                                          | Dart     |         27 |          0 |          6 |         33 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\repositories\auth_repository.dart                                                                         | Dart     |         32 |          1 |          7 |         40 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\repositories\user_repository.dart                                                                         | Dart     |          8 |          0 |          4 |         12 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\apple_sign_in_usecase.dart                                                                      | Dart     |         13 |          0 |          5 |         18 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\attach_token_use_case.dart                                                                      | Dart     |         11 |          0 |          5 |         16 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\create_new_forget_password_use_case.dart                                                        | Dart     |         35 |          0 |          8 |         43 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\facebook_sign_in_use_case.dart                                                                  | Dart     |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\get_tokens_use_case.dart                                                                        | Dart     |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\get_user_use_case.dart                                                                          | Dart     |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\get_wallet_use_case.dart                                                                        | Dart     |          0 |          0 |          2 |          2 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\get_welcome_gift_use_case.dart                                                                  | Dart     |         12 |          0 |          5 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\google_sign_in_use_case.dart                                                                    | Dart     |         25 |          1 |          9 |         35 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\login_use_case.dart                                                                             | Dart     |         33 |          1 |          9 |         43 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\register_use_case.dart                                                                          | Dart     |         49 |          0 |          9 |         58 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\resend_otp_use_case.dart                                                                        | Dart     |         22 |          0 |          8 |         30 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\save_tokens_use_case.dart                                                                       | Dart     |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\send_forget_password_otp_use_case.dart                                                          | Dart     |         22 |          0 |          8 |         30 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\sign_out_usecase.dart                                                                           | Dart     |         12 |          0 |          5 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\verify_forget_password_otp_use_case.dart                                                        | Dart     |         31 |          0 |          8 |         39 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\domain\use_cases\verify_otp_use_case.dart                                                                        | Dart     |         31 |          0 |          8 |         39 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\create_new_forgot_password_cubit\create_new_forgot_password_cubit.dart                  | Dart     |         34 |          0 |          6 |         40 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\create_new_forgot_password_cubit\create_new_forgot_password_state.dart                  | Dart     |         14 |          0 |          7 |         21 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\forgot_password_cubit\forgot_password_cubit.dart                                        | Dart     |         29 |          0 |          5 |         34 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\forgot_password_cubit\forgot_password_state.dart                                        | Dart     |         10 |          0 |          7 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\login_cubit\login_cubit.dart                                                            | Dart     |        105 |          0 |         10 |        115 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\login_cubit\login_state.dart                                                            | Dart     |         12 |          0 |          7 |         19 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\register_cubit\register_cubit.dart                                                      | Dart     |        102 |          0 |         11 |        113 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\register_cubit\register_state.dart                                                      | Dart     |         11 |          0 |          8 |         19 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\user_cubit\get_wallet_cubit.dart                                                        | Dart     |         22 |          0 |          4 |         26 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\user_cubit\get_wallet_state.dart                                                        | Dart     |          8 |          0 |          6 |         14 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\user_cubit\user_cubit.dart                                                              | Dart     |         95 |         15 |         17 |        127 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\verify_forgot_password_otp\verify_forgot_password_otp_cubit.dart                        | Dart     |         25 |          0 |          8 |         33 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\verify_forgot_password_otp\verify_forgot_password_otp_state.dart                        | Dart     |         14 |          0 |          7 |         21 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\verify_otp_cubit\verify_otp_cubit.dart                                                  | Dart     |         46 |          0 |          8 |         54 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\controllers\verify_otp_cubit\verify_otp_state.dart                                                  | Dart     |         16 |          0 |         11 |         27 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\pages\forgot_password\create_new_forget_password_view.dart                                          | Dart     |         78 |          0 |          6 |         84 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\pages\forgot_password\enter_email_forgot_password_view.dart                                         | Dart     |         66 |          0 |          5 |         71 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\pages\forgot_password\forget_password_otp_verification_view.dart                                    | Dart     |        111 |          0 |          6 |        117 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\pages\login_view.dart                                                                               | Dart     |        530 |        144 |         18 |        692 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\pages\register\register_verify_otp.dart                                                             | Dart     |        117 |          0 |          7 |        124 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\pages\register\register_view.dart                                                                   | Dart     |        241 |          4 |          8 |        253 |
| d:\projects\flutter\49\49-mobile-app\lib\features\authentication\presentation\widgets\log_out_widget.dart                                                                         | Dart     |         56 |          0 |          5 |         61 |
| d:\projects\flutter\49\49-mobile-app\lib\features\azkaar\presentation\cubit\azkaar_cubit.dart                                                                                     | Dart     |          6 |          0 |          3 |          9 |
| d:\projects\flutter\49\49-mobile-app\lib\features\azkaar\presentation\cubit\azkaar_state.dart                                                                                     | Dart     |          7 |          0 |          4 |         11 |
| d:\projects\flutter\49\49-mobile-app\lib\features\azkaar\presentation\pages\azkar_view.dart                                                                                       | Dart     |         11 |          0 |          4 |         15 |
| d:\projects\flutter\49\49-mobile-app\lib\features\competition\presentation\pages\competition_view.dart                                                                            | Dart     |        202 |          2 |          9 |        213 |
| d:\projects\flutter\49\49-mobile-app\lib\features\competition\presentation\pages\winners.dart                                                                                     | Dart     |         73 |          0 |          5 |         78 |
| d:\projects\flutter\49\49-mobile-app\lib\features\favorites\presentation\cubit\favorites_cubit.dart                                                                               | Dart     |          6 |          0 |          3 |          9 |
| d:\projects\flutter\49\49-mobile-app\lib\features\favorites\presentation\cubit\favorites_state.dart                                                                               | Dart     |          7 |          0 |          4 |         11 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\cusine_restaurants\presentation\cubit\cusine_restaurants_cubit.dart                                                | Dart     |         25 |          0 |          8 |         33 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\cusine_restaurants\presentation\cubit\cusine_restaurants_state.dart                                                | Dart     |         29 |          0 |          5 |         34 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\cusine_restaurants\presentation\pages\cusine_restaurants_view.dart                                                 | Dart     |         31 |          1 |          4 |         36 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\data\datasources\food_cart_remote_datasource.dart                                                        | Dart     |         38 |          0 |          7 |         45 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\data\models\cart_item_model.dart                                                                         | Dart     |         24 |          0 |          3 |         27 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\data\models\cart_model.dart                                                                              | Dart     |         12 |          0 |          3 |         15 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\data\models\food_cart_model.dart                                                                         | Dart     |         18 |          0 |          2 |         20 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\data\models\master_model.dart                                                                            | Dart     |         10 |          0 |          2 |         12 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\data\repositories\food_cart_repo_impl.dart                                                               | Dart     |         23 |          0 |          8 |         31 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\domain\entities\cart_entity.dart                                                                         | Dart     |          6 |          0 |          2 |          8 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\domain\entities\cart_item_entity.dart                                                                    | Dart     |         15 |          0 |          3 |         18 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\domain\entities\food_cart_entity.dart                                                                    | Dart     |         11 |          0 |          4 |         15 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\domain\entities\master_entity.dart                                                                       | Dart     |          5 |          0 |          1 |          6 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\domain\repositories\food_cart_repo.dart                                                                  | Dart     |         12 |          0 |          3 |         15 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\domain\usecases\get_cart_usecase.dart                                                                    | Dart     |         13 |          0 |          2 |         15 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\domain\usecases\place_order_usecase.dart                                                                 | Dart     |         12 |          0 |          2 |         14 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\domain\usecases\remove_from_cart_usecase.dart                                                            | Dart     |         19 |          0 |          3 |         22 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\presentation\cubit\food_cart_cubit.dart                                                                  | Dart     |         32 |          0 |          5 |         37 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\food_cart\presentation\pages\cart_view.dart                                                                        | Dart     |         45 |          1 |          4 |         50 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_dashboard\data\datasources\restaurant_dashboard_remote_datasource.dart                                  | Dart     |         38 |          0 |          7 |         45 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_dashboard\data\repositories\restaurant_dashboard_repo_impl.dart                                         | Dart     |         25 |          0 |          8 |         33 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_dashboard\domain\repositories\restaurant_dashboard_repo.dart                                            | Dart     |          9 |          0 |          3 |         12 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_dashboard\domain\usecases\get_restaurant_orders_usecase.dart                                            | Dart     |         14 |          0 |          5 |         19 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_dashboard\presentation\cubit\restaurant_dashboard_cubit.dart                                            | Dart     |         40 |          0 |          9 |         49 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_dashboard\presentation\cubit\restaurant_dashboard_state.dart                                            | Dart     |         28 |          0 |          3 |         31 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_dashboard\presentation\pages\restaurant_dashboard_view.dart                                             | Dart     |         61 |          0 |          4 |         65 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_dashboard\presentation\widgets\restaurant_order_card.dart                                               | Dart     |        133 |          1 |          8 |        142 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\data\datasources\restaurant_details_remote_data_source.dart                                     | Dart     |         45 |          0 |          7 |         52 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\data\models\meal_model.dart                                                                     | Dart     |         35 |          0 |          3 |         38 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\data\models\option_model.dart                                                                   | Dart     |         11 |          0 |          2 |         13 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\data\models\selected_meal_model.dart                                                            | Dart     |         20 |          0 |          4 |         24 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\data\models\selected_variation_model.dart                                                       | Dart     |         12 |          0 |          4 |         16 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\data\models\variation_model.dart                                                                | Dart     |         15 |          0 |          2 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\data\repositories\restaurant_details_repo_impl.dart                                             | Dart     |         25 |          0 |          6 |         31 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\domain\entities\meal_entity.dart                                                                | Dart     |         24 |          0 |          3 |         27 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\domain\entities\option_entity.dart                                                              | Dart     |          6 |          0 |          1 |          7 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\domain\entities\selected_meal_entity.dart                                                       | Dart     |         27 |          0 |          4 |         31 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\domain\entities\variation_entity.dart                                                           | Dart     |         11 |          0 |          2 |         13 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\domain\repositories\restaurant_details_repo.dart                                                | Dart     |         12 |          0 |          5 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\domain\usecases\add_to_cart_usecase.dart                                                        | Dart     |         13 |          0 |          5 |         18 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\domain\usecases\get_meals_usecase.dart                                                          | Dart     |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\domain\usecases\get_restaurant_details_usecase.dart                                             | Dart     |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\presentation\cubit\restaurant_details_cubit.dart                                                | Dart     |         59 |          0 |         11 |         70 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\presentation\cubit\restaurant_details_state.dart                                                | Dart     |         35 |          0 |          5 |         40 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\presentation\pages\restaurant_details_view.dart                                                 | Dart     |        112 |          1 |         10 |        123 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\presentation\widgets\cart_item_card.dart                                                        | Dart     |         76 |          0 |          4 |         80 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\presentation\widgets\meal_card.dart                                                             | Dart     |         77 |          0 |          4 |         81 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\presentation\widgets\meal_details.dart                                                          | Dart     |        216 |          0 |         18 |        234 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurant_details\presentation\widgets\restaurant_header.dart                                                     | Dart     |        116 |          1 |          5 |        122 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\data\datasources\restaurants_remote_data_source.dart                                              | Dart     |        106 |          0 |         10 |        116 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\cuisine_model.dart                                                                    | Dart     |         16 |          0 |          4 |         20 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\food_category_model.dart                                                              | Dart     |         20 |          0 |          5 |         25 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\restaurant_2_model.dart                                                               | Dart     |         28 |          0 |          5 |         33 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\restaurant_location_model.dart                                                        | Dart     |         16 |          0 |          2 |         18 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\restaurant_media_model.dart                                                           | Dart     |         13 |          0 |          5 |         18 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\restaurant_mneu_model.dart                                                            | Dart     |         18 |          0 |          4 |         22 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\data\models\restaurant_model.dart                                                                 | Dart     |         82 |          0 |          6 |         88 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\data\repositories\restaurant_list_repo_impl.dart                                                  | Dart     |         48 |          0 |         11 |         59 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\domain\entities\cusine_entity.dart                                                                | Dart     |          5 |          0 |          2 |          7 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\domain\entities\food_category_entity.dart                                                         | Dart     |         46 |          0 |          4 |         50 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\domain\entities\restaurant.dart                                                                   | Dart     |         71 |          0 |          2 |         73 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\domain\entities\restaurant_entity.dart                                                            | Dart     |         34 |          0 |          3 |         37 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\domain\entities\restaurant_location_entity.dart                                                   | Dart     |         11 |          0 |          2 |         13 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\domain\entities\restaurant_media.dart                                                             | Dart     |         17 |          0 |          2 |         19 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\domain\entities\restaurant_mneu.dart                                                              | Dart     |         35 |          0 |          2 |         37 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\domain\repositories\resturant_list_repo.dart                                                      | Dart     |         25 |          0 |          5 |         30 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\domain\usecases\get_all_restaurant_use_case.dart                                                  | Dart     |         12 |          0 |          3 |         15 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\domain\usecases\get_meal_categories_with_count_restaurants_use_case.dart                          | Dart     |         13 |          0 |          4 |         17 |
| d:\projects\flutter\49\49-mobile-app\lib\features\food_feature\restaurants_list\domain\usecases\get_nearby_restaurants_usecase.dart                                               | Dart     |         19 |          0 |          4 |         23 |
