Date : 2024-08-20 21:35:42
Directory : d:\projects\flutter\49\49-mobile-app\lib
Total : 1472 files,  95704 codes, 8632 comments, 11769 blanks, all 116105 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |      1,472 |     95,704 |      8,632 |     11,769 |    116,105 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| features\social_media\tinder\authentication                                                                                                                                       |          1 |          0 |          1 |          1 |          2 |
| features\social_media\tinder\authentication\presentation                                                                                                                          |          1 |          0 |          1 |          1 |          2 |
| features\social_media\tinder\authentication\presentation\controllers                                                                                                              |          1 |          0 |          1 |          1 |          2 |
| features\social_media\tinder\authentication\presentation\controllers\user_cubit                                                                                                   |          1 |          0 |          1 |          1 |          2 |
| features\social_media\tinder\data                                                                                                                                                 |         15 |      1,830 |        167 |        221 |      2,218 |
| features\social_media\tinder\data\models                                                                                                                                          |         13 |      1,504 |         93 |        184 |      1,781 |
| features\social_media\tinder\data\shared                                                                                                                                          |          2 |        326 |         74 |         37 |        437 |
| features\social_media\tinder\presentation                                                                                                                                         |         10 |      2,314 |        854 |        256 |      3,424 |
| features\social_media\tinder\presentation\cubit                                                                                                                                   |          3 |        735 |        153 |        130 |      1,018 |
| features\social_media\tinder\presentation\pages                                                                                                                                   |          3 |        787 |        337 |         88 |      1,212 |
